Folder1,Folder2,Name,Brick Type
Cropped Images,Brick_1x1,1_Brick_1x1_180708133346.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708133400.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708133725.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708133739.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708133753.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708133807.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708133958.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134015.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134023.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134036.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134044.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134049.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134052.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134058.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134102.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134108.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134114.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134120.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134127.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134134.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134140.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134147.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134153.jpg,Brick 1x1
Cropped Images,Brick_1x1,1_Brick_1x1_180708134200.jpg,Brick 1x1
